date,revenue,campaign,source,click_count
2023-04-01 20:00:00,54.26,Unknown,Lead Current,0.0
2023-04-01 20:00:00,140.62,54103,Lead Current,0.0
2023-04-01 20:00:00,130.07,54772,Lead Current,0.0
2023-04-01 20:00:00,155.1,paidsearch,Lead Current,0.0
2023-04-01 21:00:00,90.0,Unknown,Southern New Hampshire University,0.0
2023-04-01 21:00:00,4.0,17636347892,Clicks.net,2.0
2023-04-01 21:00:00,2.0,18463616520,Clicks.net,1.0
2023-04-01 21:00:00,74.0,10516,Lead Current,0.0
2023-04-01 21:00:00,76.4,54102,Lead Current,0.0
2023-04-01 21:00:00,236.19,54103,Lead Current,0.0
2023-04-01 21:00:00,144.24,54772,Lead Current,0.0
2023-04-01 21:00:00,253.5,paidsearch,Lead Current,0.0
2023-04-01 22:00:00,90.0,Unknown,Southern New Hampshire University,0.0
2023-04-01 22:00:00,4.0,17636347892,Clicks.net,2.0
2023-04-01 22:00:00,67.28,54001,Lead Current,0.0
2023-04-01 22:00:00,162.4,54103,Lead Current,0.0
2023-04-01 22:00:00,37.49,55011,Lead Current,0.0
2023-04-01 22:00:00,30.0,directnav,Lead Current,0.0
2023-04-01 22:00:00,281.07,paidsearch,Lead Current,0.0
2023-04-01 23:00:00,30.0,Unknown,Southern New Hampshire University,0.0
2023-04-01 23:00:00,12.0,18463616520,Clicks.net,6.0
2023-04-01 23:00:00,53.74,Unknown,Lead Current,0.0
2023-04-01 23:00:00,34.0,10516,Lead Current,0.0
2023-04-01 23:00:00,63.83,54103,Lead Current,0.0
2023-04-01 23:00:00,119.7,54772,Lead Current,0.0
2023-04-01 23:00:00,277.54,paidsearch,Lead Current,0.0
2023-04-02 00:00:00,38.0,Unknown,Education Dynamics,0.0
2023-04-02 00:00:00,120.0,Unknown,Southern New Hampshire University,0.0
2023-04-02 00:00:00,14.0,Unknown,Clicks.net,7.0
2023-04-02 00:00:00,14.0,17636347892,Clicks.net,7.0
2023-04-02 00:00:00,94.89,paidsearch,Lead Current,0.0
2023-04-02 00:00:00,2.0,Unknown,My Ad Optimizer,1.0
2023-04-02 01:00:00,57.0,Unknown,Education Dynamics,0.0
2023-04-02 01:00:00,150.0,Unknown,Southern New Hampshire University,0.0
2023-04-02 01:00:00,2.0,18463616520,Clicks.net,1.0
2023-04-02 01:00:00,94.22,paidsearch,Lead Current,0.0
2023-04-02 01:00:00,2.0,Unknown,My Ad Optimizer,1.0
2023-04-02 02:00:00,120.0,Unknown,Southern New Hampshire University,0.0
2023-04-02 02:00:00,2.0,Unknown,Clicks.net,1.0
2023-04-02 02:00:00,18.0,17636347892,Clicks.net,9.0
2023-04-02 02:00:00,177.74,paidsearch,Lead Current,0.0
2023-04-02 03:00:00,88.0,Unknown,Education Dynamics,0.0
2023-04-02 03:00:00,180.0,Unknown,Southern New Hampshire University,0.0
